City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,ambilobe,-13.2,49.05,296.14,96,4,1.26,MG,1682286227
296,arman,59.7,150.1667,274.73,62,72,8.95,RU,1682286337
297,magalia,39.8121,-121.5783,297.27,41,6,3.25,US,1682286338
298,grootfontein,-19.5667,18.1167,295.91,56,98,1.03,NA,1682286338
299,faanui,-16.4833,-151.75,301.1,77,94,5.75,PF,1682286340
300,itarema,-2.9248,-39.9167,298.51,85,99,4.57,BR,1682286340
301,ishim,56.1128,69.4902,280.18,88,88,5.96,RU,1682286340
302,la tiza,7.75,-80.2833,298.16,99,100,3.31,PA,1682286341
303,uray,60.1247,64.7758,273.05,54,18,6.11,RU,1682286341
304,wanning,18.8003,110.3967,298.46,94,37,3.58,CN,1682286342
305,yerofey pavlovich,53.9667,121.9667,269.39,72,79,1.69,RU,1682286342
306,coihaique,-45.5752,-72.0662,287.49,71,75,2.06,CL,1682286342
307,esso,55.9333,158.7,271.47,91,100,2.63,RU,1682286343
308,svetlogorsk,52.6333,29.7333,283.13,68,55,2.83,BY,1682286343
309,kabare,-2.4683,28.8242,289.64,98,82,1.25,CD,1682286344
310,beloha,-25.1667,45.05,293.46,89,100,2.59,MG,1682286344
311,vila do maio,15.1333,-23.2167,295.59,76,5,8.38,CV,1682286345
312,vao,-22.6667,167.4833,298.44,77,52,4.88,NC,1682286345
313,skegness,53.1436,0.3363,282.13,90,100,9.62,GB,1682286345
314,loa janan,-0.583,117.095,296.82,98,95,0.09,ID,1682286346
315,najran,17.4924,44.1277,294.51,55,33,1.67,SA,1682286346
316,hurghada,27.2574,33.8129,298.17,53,0,2.06,EG,1682286347
317,mantua,45.1667,10.7833,291.73,80,100,3.01,IT,1682286347
318,sorland,67.667,12.6934,274.07,59,50,5.93,NO,1682286347
319,mahanoro,-19.9,48.8,296.88,94,24,2.58,MG,1682286348
320,phra phutthabat,14.7253,100.7954,300.17,80,22,2.11,TH,1682286348
321,saint-joseph,-21.3667,55.6167,298.36,77,100,1.48,RE,1682286349
322,pangnirtung,66.1451,-65.7125,274.55,90,99,0.95,CA,1682286349
323,prince rupert,54.3161,-130.3201,281.2,81,100,9.26,CA,1682286350
324,sinjai,-5.1241,120.253,298.51,85,83,1.18,ID,1682286350
325,serebryanyy bor,56.8,124.8,266.03,94,100,1.01,RU,1682286351
326,esenyurt,41.0333,28.6753,284.13,81,0,5.14,TR,1682286351
327,alice springs,-23.7,133.8833,282.9,81,0,2.14,AU,1682286351
328,gotsu,35.0,132.2167,284.17,60,100,5.07,JP,1682286352
329,huilong,31.8111,121.655,285.31,79,100,9.84,CN,1682286352
330,kununurra,-15.7667,128.7333,289.14,88,6,0.0,AU,1682286303
331,nishihara,26.1842,127.7558,294.75,85,40,3.09,JP,1682286353
332,port victoria,0.0939,33.9756,292.78,92,100,6.06,KE,1682286354
333,aksu,41.1231,80.2644,285.31,19,31,2.58,CN,1682286354
334,maloye verevo,59.6136,30.1728,286.02,65,68,3.35,RU,1682286355
335,provideniya,64.3833,-173.3,267.24,58,20,7.15,RU,1682286338
336,gushikawa,26.3544,127.8686,294.72,80,40,3.09,JP,1682286355
337,bulgan,48.8125,103.5347,271.06,82,100,3.47,MN,1682286247
338,lashio,22.9333,97.75,291.73,69,3,0.87,MM,1682286356
339,abnub,27.2696,31.1511,296.27,28,24,2.2,EG,1682286357
340,iqaluit,63.7506,-68.5145,274.0,86,100,4.63,CA,1682286116
341,liverpool,53.4106,-2.9779,282.75,83,0,3.09,GB,1682286132
342,waddan,29.1614,16.139,291.97,62,14,5.24,LY,1682286358
343,geraldton,-28.7667,114.6,293.38,64,95,5.66,AU,1682286260
344,tomatlan,19.9333,-105.25,303.59,37,39,3.88,MX,1682286359
345,lerwick,60.1545,-1.1494,277.15,70,100,14.59,GB,1682286359
346,babati,-4.2167,35.75,290.87,97,100,0.85,TZ,1682286359
347,lengshuijiang,27.6881,111.4294,280.65,93,100,1.51,CN,1682286360
348,george town,5.4112,100.3354,299.11,94,20,2.06,MY,1682286311
349,laguna,38.421,-121.4238,300.53,40,0,4.12,US,1682286361
350,lufilufi,-13.8745,-171.5986,303.03,76,47,3.58,WS,1682286361
351,bang sao thong,13.595,100.8304,305.38,86,20,3.09,TH,1682286361
352,portland,45.5234,-122.6762,286.46,75,100,2.06,US,1682285974
353,aykhal,66.0,111.5,263.34,98,100,0.56,RU,1682286363
354,kishi,9.0833,3.85,296.17,89,100,3.2,NG,1682286363
355,labytnangi,66.6572,66.4183,267.47,77,100,5.96,RU,1682286257
356,kiruna,67.8557,20.2251,263.66,73,1,1.03,SE,1682286364
357,broken hill,-31.95,141.4333,289.14,58,0,3.95,AU,1682286364
358,ballina,-28.8667,153.5667,295.28,63,79,8.18,AU,1682286365
359,san pedro,14.35,121.0167,301.72,77,75,2.06,PH,1682286323
360,moscow,55.7522,37.6156,284.47,49,17,1.54,RU,1682286227
361,north battleford,52.7834,-108.2847,284.2,28,0,6.69,CA,1682286217
362,urucui,-7.2294,-44.5561,300.58,46,16,1.55,BR,1682286276
363,nicoya,10.1483,-85.452,304.91,54,19,3.97,CR,1682286244
364,havelock,34.8791,-76.9013,297.14,48,0,3.09,US,1682286368
365,buritis,-15.6178,-46.4233,297.16,63,83,1.44,BR,1682286368
